##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#26,4,15
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#13,4,15
##xindex,yindex,xcoord/m,ycoord/m,current/A
0,0,0.0,0.0,9.228357295097126E-10
0,1,0.0,2.0E-6,9.22923353766823E-10
0,2,0.0,4.0E-6,9.229502084487856E-10
0,3,0.0,6.0E-6,9.230007239280503E-10
0,4,0.0,8.0E-6,9.230307854554208E-10
0,5,0.0,9.999999999999999E-6,9.230616936112049E-10
0,6,0.0,1.2E-5,9.231660444602462E-10
0,7,0.0,1.4E-5,9.232329366130591E-10
0,8,0.0,1.6E-5,9.232711471399243E-10
0,9,0.0,1.8E-5,9.233722186113286E-10
0,10,0.0,1.9999999999999998E-5,9.234515439998285E-10
0,11,0.0,2.2E-5,9.235308032994367E-10
0,12,0.0,2.4E-5,9.235695930043348E-10
0,13,0.0,2.6E-5,9.236782547461969E-10
0,14,0.0,2.8E-5,9.237136328466033E-10
0,15,0.0,2.9999999999999997E-5,9.238271714507077E-10
0,16,0.0,3.2E-5,9.238565761606096E-10
0,17,0.0,3.4E-5,9.239088724783336E-10
0,18,0.0,3.6E-5,9.240223371798628E-10
0,19,0.0,3.7999999999999995E-5,9.240793071994663E-10
0,20,0.0,3.9999999999999996E-5,9.241386796742759E-10
0,21,0.0,4.2E-5,9.242004147138175E-10
0,22,0.0,4.4E-5,9.242459755813656E-10
0,23,0.0,4.6E-5,9.243479094665519E-10
0,24,0.0,4.8E-5,9.243310793527436E-10
0,25,0.0,4.9999999999999996E-5,9.244752160776016E-10
0,26,0.0,5.2E-5,9.245216136589026E-10
0,27,0.0,5.4E-5,9.245592012853495E-10
0,28,0.0,5.6E-5,9.246235835864799E-10
0,29,0.0,5.8E-5,9.246419028942012E-10
0,30,0.0,5.9999999999999995E-5,9.247233704551907E-10
0,31,0.0,6.2E-5,9.247848182428544E-10
0,32,0.0,6.4E-5,9.247962584421762E-10
0,33,0.0,6.599999999999999E-5,9.249720361480163E-10
0,34,0.0,6.8E-5,9.249464963865225E-10
